Country/Territory,2016-17,2017-18,2018-19,2019-20,2020-21
Total  Imports,5539721,6694897,7443253,7029819,8982441
North  America,,,,,
Canada,76992,69512,68678,79397,100296
U.S.A.,267851,316417,368868,396732,459358
Western Europe (E.E.C.  Countries),,,,,
France,71084,50265,60435,62904,66734
Federal Republic of Germany,114306,146427,142625,124221,162187
Irish Republic,7912,9894,11383,11579,10042
Italy,57573,72884,132089,77208,79594
Netherland,54432,100222,82042,96543,82534
United Kingdom,71190,86389,109574,96733,106357
Eastern  Europe,,,,,
Russian Federation,34938,37609,38195,46200,123993
Middle East (E.C.O  Countries),,,,,
Iran,30091,41415,56087,68580,84656
Turkey,26387,33523,51640,56301,77041
Asian  Countries,,,,,
Abu Dhabi,0,0,0,0,0
Kuwait,141868,159694,185788,178667,247371
Saudi Arabia,227705,356421,401330,273640,426023
Other  Asia,,,,,
Afghanistan,35877,48763,73512,73884,97565
Bangla Desh,6250,8533,7271,7231,11919
China,1584315,1731764,1734330,1909193,2473815
India,178170,207521,204785,59949,50671
Indonesia,240441,278479,327287,339639,506906
Japan,217443,266521,246094,174706,249037
Malaysia,100244,132031,145502,148833,175843
Sri Lanka,10715,11262,10296,9385,13113
Oceania,,,,,
Australia,61510,43812,40343,41609,77970
Other  Countries  n.e.s.,1922427,2485539,2945099,2696685,3299418
