Province/Area,Total Unemployed 2014-15,Male Unemployed 2014-15,Female Unemployed 2014-15,Total Unemployed 2017-18,Male Unemployed 2017-18,Female Unemployed 2017-18
Pakistan,3.62,2.31,1.31,3.79,2.57,1.22
Rural,2.10,1.28,0.82,2.15,1.47,0.68
Urban,1.52,1.03,0.49,1.64,1.10,0.54
Punjab,2.32,1.49,0.83,2.39,1.55,0.84
Rural,1.43,0.89,0.54,1.45,0.93,0.52
Urban,0.89,0.60,0.29,0.94,0.62,0.32
Sindh,0.66,0.43,0.23,0.75,0.52,0.23
Rural,0.20,0.11,0.09,0.21,0.15,0.06
Urban,0.46,0.32,0.14,0.54,0.37,0.17
KP,0.51,0.31,0.20,0.55,0.44,0.11
Rural,0.39,0.23,0.16,0.43,0.35,0.08
Urban,0.12,0.08,0.04,0.12,0.09,0.03
Balochistan,0.13,0.08,0.05,0.11,0.07,0.04
Rural,0.08,0.05,0.03,0.07,0.05,0.02
Urban,0.05,0.03,0.02,0.04,0.02,0.02
