,"Year
(  July-June  )/ Month",No. of Reporting Mills,Total Employment,Production Workers Employments,Office Staff Emplyments,Total Wages (thousand Rs.),Production Worker Wages (thousand Rs.),Offiice Staff Wages (thousand Rs.)
0,2006-07,288,183201,158112,25089,791772,620130,171642
1,2007-08,288,176643,152036,24607,842722,661182,181540
2,2008-09,288,162984,139152,23832,802438,629608,172830
3,2009-10,288,168727,144487,24240,944137,750701,193436
4,2010-11,295,166718,142756,23962,1149580,893633,255947
5,2011-12,295,163535,140315,23220,1171743,926744,245002
6,2012-13,280,169697,144411,25286,1323153,1043134,280586
7,2013-14,281,172129,144216,27913,1627528,1286234,341294
8,2014-15,289,170528,143048,27480,1734882,1372957,361925
9,2015-16,289,164049,135777,28272,1925533,1497525,423209
10,2016-17,298,165251,133259,31992,2069106,1599857,469249
11,2017-18,299,161727,133190,28537,2251084,1756455,494629
12,2018-19,299,157846,131085,26761,2438412,1891246,247166
13,2019-20,299,151851,126203,25648,2499773,1973563,526210
14,2020-21,285,154706,129886,24820,2816361,2213454,602907
15,2021-22,285,157343,132207,25136,3146792,2425150,721642
16,(Jul: – Nov:),285,155817,131323,24494,3050851,2365101,685750
17,Jul:,285,154695,130621,24074,2812038,2219728,592310
18,Aug:,285,156003,131674,24329,3055240,2374009,681231
19,Sep:,285,155803,131402,24401,3096924,2394889,702035
20,Oct:,285,156075,131460,24615,3097145,2388151,708994
21,Nov:,285,156507,131457,25050,3192910,2448728,744182
22,Dec:,285,156748,131590,25158,3181397,2451990,729407
23,Jan:,285,158294,132490,25804,3180335,2441813,738522
24,Feb,285,158540,132610,24930,3199488,2448892,750596
25,Mar:,285,158640,133007,24633,3213548,2453189,760359
26,Apr:,285,158796,133173,25623,3252167,2467214,784953
27,May,285,158989,133329,24666,3252787,2480662,772125
28,Jun,285,159028,133672,25356,3227523,2532533,773840
29,"2022-23
(Jul: – Nov:)",285,157684,132108,25576,3265317,2500795,764522
30,Jul:,285,159734,133921,25813,3312202,2537499,774703
31,Aug:,285,159579,133766,25813,3246751,2467880,778871
32,Sep:,285,159251,133635,25616,3231165,2457355,773810
33,Oct:,285,159311,133665,25646,3334720,2570476,764244
34,Nov:,285,150546,125553,24993,3201749,2470765,730984
