,Year,GDP
0,1960,3749265015.0
1,1961,4118647627.0
2,1962,4310163797.0
3,1963,4630827383.0
4,1964,5204955901.0
5,1965,5929231415.0
6,1966,6561108778.0
7,1967,7464510710.0
8,1968,8041999160.0
9,1969,8683116338.0
10,1970,10027509450.0
11,1971,10665896682.0
12,1972,9415016360.0
13,1973,6383429490.0
14,1974,8899191919.0
15,1975,11230606061.0
16,1976,13168080808.0
17,1977,15126060606.0
18,1978,17811515152.0
19,1979,19688383838.0
20,1980,23654444444.0
21,1981,28100606061.0
22,1982,30725971564.0
23,1983,28691889764.0
24,1984,31151825467.0
25,1985,31144920844.0
26,1986,31899070056.0
27,1987,33351529275.0
28,1988,38472742808.0
29,1989,40171106279.0
30,1990,40010423970.0
31,1991,45625336680.0
32,1992,48884671947.0
33,1993,51809999353.0
34,1994,52293470813.0
35,1995,60636071684.0
36,1996,63320170084.0
37,1997,62433340468.0
38,1998,62191955814.0
39,1999,62973857069.0
40,2000,99484802345.0
41,2001,97145618480.0
42,2002,97923302809.0
43,2003,112372000000.0
44,2004,132216000000.0
45,2005,145209000000.0
46,2006,161871000000.0
47,2007,184141000000.0
48,2008,202204000000.0
49,2009,187338000000.0
50,2010,196710000000.0
51,2011,230587000000.0
52,2012,250107000000.0
53,2013,258657000000.0
54,2014,271390000000.0
55,2015,299964000000.0
56,2016,313630000000.0
57,2017,339206000000.0
58,2018,356128000000.0
59,2019,320909000000.0
60,2020,300426000000.0
61,2021,348517000000.0
62,2022,374890000000.0
63,2023,337912000000.0
