Year,Exports (% of GDP),Imports (% of GDP),Exports,Imports
2000,9.62962610417459,11.8303,9580014496.2551,11769393573.327
2001,10.626173080299,12.951,10322861559.601,12581363792.511
2002,11.2629655687308,11.8661,11029067879.182,11619632997.726
2003,12.1646439105383,12.4855,13669643162.028,14030220249.274
2004,11.4229741601222,13.3854,15103005037.345999,17697602918.186996
2005,12.2518459289151,17.6267,17790729409.545002,25595408170.142002
2006,12.5489433238569,20.5008,20313148424.735,33184878526.345
2007,11.6250762010115,19.1628,21406516454.41,35286554452.768
2008,11.8758184433912,22.4731,24013350067.55,45441535497.590004
2009,12.390986505409,20.9359,23212999517.187,39220849368.712006
2010,12.6372221360882,19.3518,24858631876.191,38066805527.219
2011,13.4825548617217,18.8801,31088962295.138,43534938844.223
2012,11.8739621781713,19.445,29697606560.244,48633321047.354996
2013,12.1774992839349,18.7128,31497982534.754,48401947685.488
2014,11.1949725296552,18.2749,30382089108.413,49596211160.835
2015,9.97457101697387,16.7136,29920081362.956,50134755423.614006
2016,8.73671724677937,15.9649,27400966312.47,50070597552.091
2017,8.22161246904219,17.2504,27888164549.822002,58514392790.331
2018,8.58179970762808,19.0443,30562205969.064,67821962097.056
2019,9.39086337877951,19.5147,30136170157.454998,62624560741.871
2020,9.29855904268724,17.4177,27935252708.278,52327295782.645996
2021,9.05160046188653,17.9788,31546334469.897,62659184536.999
2022,10.5405906471536,22.4969,39515650036.106,84315688680.399
2023,10.4799366025461,17.715,35146437874.039,59942125167.124
